"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"1","1966","14","Chhattisgarh","Durg","1375.0","80.74","1.38","1.27","292.0","17.15","0.29","0.27","36.0","2.11","0.04","0.03","1703.0","1.71","1.57"
"1","1967","14","Chhattisgarh","Durg","1516.0","78.79","1.5","1.17","207.0","10.76","0.2","0.16","201.0","10.45","0.2","0.15","1924.0","1.9","1.48"
"1","1968","14","Chhattisgarh","Durg","3042.0","85.84","2.95","2.27","458.0","12.92","0.44","0.34","44.0","1.24","0.04","0.03","3544.0","3.44","2.65"
"1","1969","14","Chhattisgarh","Durg","4131.0","82.39","3.99","3.08","847.0","16.89","0.82","0.63","36.0","0.72","0.03","0.03","5014.0","4.84","3.74"
"1","1970","14","Chhattisgarh","Durg","4594.0","67.92","4.44","3.32","2024.0","29.92","1.96","1.46","146.0","2.16","0.14","0.11","6764.0","6.54","4.89"
"1","1971","14","Chhattisgarh","Durg","7152.0","66.9","6.87","5.11","2894.0","27.07","2.78","2.07","644.0","6.02","0.62","0.46","10690.0","10.27","7.64"
"1","1972","14","Chhattisgarh","Durg","8345.0","64.58","8.01","6.09","3769.0","29.17","3.62","2.75","808.0","6.25","0.78","0.59","12922.0","12.4","9.43"
"1","1973","14","Chhattisgarh","Durg","4679.0","64.68","4.47","3.31","2312.0","31.96","2.21","1.64","243.0","3.36","0.23","0.17","7234.0","6.92","5.12"
"1","1974","14","Chhattisgarh","Durg","2704.0","65.5","2.6","2.32","1161.0","28.13","1.12","1.0","263.0","6.37","0.25","0.23","4128.0","3.97","3.54"
"1","1975","14","Chhattisgarh","Durg","4673.0","81.8","4.39","3.38","828.0","14.49","0.78","0.6","212.0","3.71","0.2","0.15","5713.0","5.37","4.13"
"1","1976","14","Chhattisgarh","Durg","4904.0","73.39","4.8","3.86","1489.0","22.28","1.46","1.17","289.0","4.33","0.28","0.23","6682.0","6.54","5.25"
"1","1977","14","Chhattisgarh","Durg","4281.0","67.4","4.1","3.08","1560.0","24.56","1.49","1.12","511.0","8.04","0.49","0.37","6352.0","6.08","4.57"
"1","1978","14","Chhattisgarh","Durg","6212.0","71.16","5.91","4.43","1912.0","21.9","1.82","1.36","606.0","6.94","0.58","0.43","8730.0","8.31","6.23"
"1","1979","14","Chhattisgarh","Durg","4832.0","61.22","4.63","3.89","2382.0","30.18","2.28","1.92","679.0","8.6","0.65","0.55","7893.0","7.57","6.36"
"1","1980","14","Chhattisgarh","Durg","5779.0","64.05","5.55","4.19","2612.0","28.95","2.51","1.89","632.0","7.0","0.61","0.46","9023.0","8.66","6.54"
"1","1981","14","Chhattisgarh","Durg","6917.0","58.92","6.59","5.38","3939.0","33.55","3.75","3.06","883.0","7.52","0.84","0.69","11739.0","11.18","9.13"
"1","1982","14","Chhattisgarh","Durg","7590.0","65.08","7.19","5.49","3215.0","27.57","3.05","2.33","857.0","7.35","0.81","0.62","11662.0","11.05","8.44"
"1","1983","14","Chhattisgarh","Durg","10114.0","66.23","9.54","7.09","4209.0","27.56","3.97","2.95","947.0","6.2","0.89","0.66","15270.0","14.41","10.7"
"1","1984","14","Chhattisgarh","Durg","12393.0","64.06","11.7","8.87","5865.0","30.32","5.54","4.2","1088.0","5.62","1.03","0.78","19346.0","18.27","13.85"
"1","1985","14","Chhattisgarh","Durg","13917.0","61.62","13.09","9.63","7298.0","32.31","6.86","5.05","1372.0","6.07","1.29","0.95","22587.0","21.24","15.63"
"1","1986","14","Chhattisgarh","Durg","13535.0","57.57","12.88","10.33","8326.0","35.41","7.92","6.36","1649.0","7.01","1.57","1.26","23510.0","22.36","17.95"
"1","1987","14","Chhattisgarh","Durg","17444.0","60.53","16.57","13.21","9301.0","32.27","8.83","7.04","2076.0","7.2","1.97","1.57","28821.0","27.38","21.82"
"1","1988","14","Chhattisgarh","Durg","18661.0","55.37","17.97","14.88","11984.0","35.56","11.54","9.56","3056.0","9.07","2.94","2.44","33701.0","32.45","26.87"
"1","1989","14","Chhattisgarh","Durg","21248.0","56.58","20.42","16.87","12600.0","33.55","12.11","10.01","3709.0","9.88","3.56","2.95","37557.0","36.1","29.82"
"1","1990","14","Chhattisgarh","Durg","22144.0","64.16","21.33","16.24","9038.0","26.19","8.7","6.63","3332.0","9.65","3.21","2.44","34514.0","33.24","25.31"
"1","1991","14","Chhattisgarh","Durg","19739.0","49.95","19.0","14.57","14503.0","36.7","13.96","10.7","5279.0","13.36","5.08","3.9","39521.0","38.03","29.16"
"1","1992","14","Chhattisgarh","Durg","25064.0","54.94","24.09","18.42","15323.0","33.59","14.73","11.26","5234.0","11.47","5.03","3.85","45621.0","43.84","33.53"
"1","1993","14","Chhattisgarh","Durg","22998.0","60.08","21.95","16.19","12674.0","33.11","12.1","8.92","2606.0","6.81","2.49","1.84","38278.0","36.54","26.95"
"1","1994","14","Chhattisgarh","Durg","28961.0","62.36","27.6","19.92","14506.0","31.23","13.82","9.98","2975.0","6.41","2.83","2.05","46442.0","44.25","31.94"
"1","1995","14","Chhattisgarh","Durg","28961.0","62.36","27.55","19.86","14506.0","31.23","13.8","9.95","2975.0","6.41","2.83","2.04","46442.0","44.18","31.84"
"1","1996","14","Chhattisgarh","Durg","28961.0","62.36","27.49","20.25","14506.0","31.23","13.77","10.14","2975.0","6.41","2.82","2.08","46442.0","44.09","32.48"
"1","1997","14","Chhattisgarh","Durg","36583.0","63.75","34.67","25.59","16041.0","27.95","15.2","11.22","4758.0","8.29","4.51","3.33","57382.0","54.37","40.14"
"1","1998","14","Chhattisgarh","Durg","34520.0","64.05","33.06","25.72","16103.0","29.88","15.42","12.0","3272.0","6.07","3.13","2.44","53895.0","51.62","40.15"
"1","1999","14","Chhattisgarh","Durg","35428.0","62.08","33.81","24.98","15822.0","27.73","15.1","11.16","5816.0","10.19","5.55","4.1","57066.0","54.47","40.24"
"1","2000","14","Chhattisgarh","Durg","35349.0","59.45","34.47","29.14","18393.0","30.93","17.94","15.16","5722.0","9.62","5.58","4.72","59464.0","57.99","49.03"
"1","2001","14","Chhattisgarh","Durg","39695.0","64.02","38.25","29.54","17621.0","28.42","16.98","13.11","4692.0","7.57","4.52","3.49","62007.0","59.75","46.14"
"1","2002","14","Chhattisgarh","Durg","33215.0","59.23","32.11","25.84","16959.0","30.24","16.39","13.19","5909.0","10.54","5.71","4.6","56082.0","54.22","43.63"
"1","2003","14","Chhattisgarh","Durg","32666.0","61.75","31.39","23.64","14731.0","27.85","14.16","10.66","5504.0","10.4","5.29","3.98","52900.0","50.84","38.29"
"1","2004","14","Chhattisgarh","Durg","48957.0","60.42","47.0","34.52","23367.0","28.84","22.44","16.48","8698.0","10.74","8.35","6.13","81022.0","77.79","57.13"
"1","2005","14","Chhattisgarh","Durg","52889.0","60.61","50.67","36.8","23912.0","27.4","22.91","16.64","10466.0","11.99","10.03","7.28","87267.0","83.61","60.73"
"1","2006","14","Chhattisgarh","Durg","63979.0","59.71","61.4","44.56","30775.0","28.72","29.54","21.43","12392.0","11.57","11.89","8.63","107146.0","102.83","74.63"
"1","2007","14","Chhattisgarh","Durg","60332.0","60.73","58.0","41.71","27558.0","27.74","26.49","19.05","11458.0","11.53","11.01","7.92","99347.0","95.51","68.68"
"1","2008","14","Chhattisgarh","Durg","52406.0","50.46","50.7","37.62","33856.0","32.6","32.75","24.3","17602.0","16.95","17.03","12.63","103864.0","100.48","74.56"
"1","2009","14","Chhattisgarh","Durg","72854.0","55.13","70.82","53.45","41198.0","31.18","40.05","30.23","18091.0","13.69","17.58","13.27","132143.0","128.45","96.95"
"1","2010","14","Chhattisgarh","Durg","77428.0","54.47","75.27","55.08","45186.0","31.79","43.93","32.15","19542.0","13.75","19.0","13.9","142156.0","138.2","101.13"
"1","2011","14","Chhattisgarh","Durg","72843.0","53.56","70.69","51.66","45815.0","33.69","44.46","32.49","17339.0","12.75","16.83","12.3","135997.0","131.98","96.46"
"1","2012","14","Chhattisgarh","Durg","93725.0","58.43","91.08","66.19","50474.0","31.47","49.05","35.65","16214.0","10.11","15.76","11.45","160413.0","155.88","113.29"
"1","2013","14","Chhattisgarh","Durg","80745.0","58.05","78.35","56.41","42228.0","30.36","40.98","29.5","16125.0","11.59","15.65","11.27","139098.0","134.98","97.18"
"1","2014","14","Chhattisgarh","Durg","92459.0","56.7","90.1","64.26","54358.0","33.33","52.97","37.78","16254.0","9.97","15.84","11.3","163071.0","158.92","113.34"
"1","2015","14","Chhattisgarh","Durg","109099.0","57.14","105.92","75.87","62410.0","32.69","60.59","43.4","19424.0","10.17","18.86","13.51","190933.0","185.37","132.77"
"1","2016","14","Chhattisgarh","Durg","103328.0","54.12","99.53","70.39","66895.0","35.04","64.43","45.57","20714.0","10.85","19.95","14.11","190937.0","183.91","130.07"
"1","2017","14","Chhattisgarh","Durg","91447.0","56.47","-1.0","-1.0","53486.0","33.03","-1.0","-1.0","16993.0","10.49","-1.0","-1.0","161926.0","-1.0","-1.0"
"2","1966","14","Chhattisgarh","Bastar","245.0","68.82","0.38","0.37","105.0","29.49","0.16","0.16","6.0","1.69","0.01","0.01","356.0","0.55","0.53"
"2","1967","14","Chhattisgarh","Bastar","202.0","86.32","0.3","0.29","26.0","11.11","0.04","0.04","6.0","2.56","0.01","0.01","234.0","0.35","0.33"
"2","1968","14","Chhattisgarh","Bastar","94.0","29.75","0.14","0.13","222.0","70.25","0.32","0.31","0.0","0.0","0.0","0.0","316.0","0.46","0.44"
"2","1969","14","Chhattisgarh","Bastar","239.0","68.48","0.34","0.33","82.0","23.5","0.12","0.11","28.0","8.02","0.04","0.04","349.0","0.5","0.48"
"2","1970","14","Chhattisgarh","Bastar","380.0","77.24","0.54","0.51","92.0","18.7","0.13","0.12","20.0","4.07","0.03","0.03","492.0","0.7","0.67"
"2","1971","14","Chhattisgarh","Bastar","393.0","72.24","0.56","0.53","130.0","23.9","0.18","0.18","21.0","3.86","0.03","0.03","544.0","0.77","0.74"
"2","1972","14","Chhattisgarh","Bastar","586.0","75.03","0.83","0.79","172.0","22.02","0.24","0.23","23.0","2.94","0.03","0.03","781.0","1.11","1.06"
"2","1973","14","Chhattisgarh","Bastar","778.0","72.64","1.05","1.0","235.0","21.94","0.32","0.3","58.0","5.42","0.08","0.07","1071.0","1.45","1.38"
"2","1974","14","Chhattisgarh","Bastar","110.0","48.67","0.15","0.14","95.0","42.04","0.13","0.12","21.0","9.29","0.03","0.03","226.0","0.3","0.29"
"2","1975","14","Chhattisgarh","Bastar","242.0","74.01","0.32","0.3","68.0","20.8","0.09","0.08","17.0","5.2","0.02","0.02","327.0","0.43","0.41"
"2","1976","14","Chhattisgarh","Bastar","285.0","72.89","0.38","0.37","81.0","20.72","0.11","0.11","25.0","6.39","0.03","0.03","391.0","0.52","0.51"
"2","1977","14","Chhattisgarh","Bastar","574.0","66.9","0.75","0.72","239.0","27.86","0.31","0.3","45.0","5.24","0.06","0.06","858.0","1.13","1.08"
"2","1978","14","Chhattisgarh","Bastar","499.0","66.44","0.65","0.62","213.0","28.36","0.28","0.26","39.0","5.19","0.05","0.05","751.0","0.97","0.93"
"2","1979","14","Chhattisgarh","Bastar","380.0","61.39","0.49","0.47","193.0","31.18","0.25","0.24","46.0","7.43","0.06","0.06","619.0","0.8","0.77"
"2","1980","14","Chhattisgarh","Bastar","383.0","60.7","0.48","0.46","195.0","30.9","0.24","0.23","53.0","8.4","0.07","0.06","631.0","0.79","0.76"
"2","1981","14","Chhattisgarh","Bastar","454.0","62.19","0.56","0.54","206.0","28.22","0.26","0.25","70.0","9.59","0.09","0.08","730.0","0.9","0.87"
"2","1982","14","Chhattisgarh","Bastar","556.0","67.07","0.68","0.65","213.0","25.69","0.26","0.25","60.0","7.24","0.07","0.07","829.0","1.01","0.97"
"2","1983","14","Chhattisgarh","Bastar","1078.0","60.63","1.29","1.24","566.0","31.83","0.68","0.65","134.0","7.54","0.16","0.15","1778.0","2.12","2.04"
"2","1984","14","Chhattisgarh","Bastar","1398.0","69.69","1.68","1.62","433.0","21.59","0.52","0.5","175.0","8.72","0.21","0.2","2006.0","2.41","2.32"
"2","1985","14","Chhattisgarh","Bastar","1445.0","62.02","1.72","1.65","705.0","30.26","0.84","0.81","180.0","7.73","0.21","0.21","2330.0","2.77","2.67"
"2","1986","14","Chhattisgarh","Bastar","1603.0","58.1","1.91","1.84","885.0","32.08","1.05","1.01","271.0","9.82","0.32","0.31","2759.0","3.28","3.16"
"2","1987","14","Chhattisgarh","Bastar","1762.0","62.28","2.09","2.01","824.0","29.13","0.98","0.94","243.0","8.59","0.29","0.28","2829.0","3.36","3.23"
"2","1988","14","Chhattisgarh","Bastar","2196.0","62.78","2.58","2.49","968.0","27.67","1.14","1.1","334.0","9.55","0.39","0.38","3498.0","4.11","3.97"
